keyword,intencion,cobertura,tipo,url,titulo,id,score
10 condores chilenos,mixto,NO,,,,,1
accesorios habitrail,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/accesorios-para-jaulas/,Accesorios para Jaulas de Aves: Todo lo que Necesitas,15289,100
accesorios para aves,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/accesorios-para-jaulas/,Accesorios para Jaulas de Aves: Todo lo que Necesitas,15289,100
actividades con aves,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/jaulas/transportines-para-aves/,Transportines para Aves: Como Elegir el Mejor para Viajar con tu Pajaro,15286,2
agaporni roseicollis,mixto,NO,,,,,0
agapornis variedades,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
aguila alas abiertas,mixto,SI,post,https://avesnativaschilenas.cl/aguilas/cuanto-mide-un-aguila-real-con-las-alas-abiertas/,Cuanto mide un aguila real con las alas abiertas,9362,3
aguila cuello blanco,mixto,NO,,,,,1
aguila harris precio,comercial,NO,,,,,1
aguila real en vuelo,mixto,SI,post,https://avesnativaschilenas.cl/aguilas/el-vuelo-del-aguila-y-su-simbolismo-en-otras-culturas/,El vuelo del aguila y su simbolismo en otras culturas,9512,3
aguila real mexicana,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/aguilas/cuanto-mide-un-aguila-real-con-las-alas-abiertas/,Cuanto mide un aguila real con las alas abiertas,9362,2
aguilas aves rapaces,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/rapaces/falconidae-guia-completa-de-las-aves-rapaces-diurnas/,Falconidae: Guia Completa de las Aves Rapaces Diurnas,11822,2
aguilas en la biblia,mixto,SI,post,https://avesnativaschilenas.cl/aguilas/caracteristicas-de-las-aguilas-segun-la-biblia/,El Aguila en la Biblia: significado espiritual y versiculos clave,1857,4
albatro de galapagos,mixto,SI,post,https://avesnativaschilenas.cl/albatro/albatros-de-las-galapagos/,"Albatros de las Galápagos: Datos, curiosidades y fotografías impresionantes",456,3
alimentacion colibri,informacional,NO,,,,,1
alimentacion de loro,informacional,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
alimentacion de pato,informacional,SI/Parcial,post,https://avesnativaschilenas.cl/cuidados/tipo-de-alimentacion-de-las-aves/,Descubre los Tipos de Alimentación de las Aves: Guía Completa para Entender sus Dietas,11359,2
alimentacion gorrion,informacional,SI/Parcial,page,https://avesnativaschilenas.cl/gorrion/,"Gorrion en Chile: caracteristicas, habitat, alimentacion y comportamiento",9827,2
alimento de ponedora,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-gallinas-ponedoras/,Jaulas para Gallinas Ponedoras: Guia de Compra 2026,15281,100
alimento para perico,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-periquitos/,Jaulas para Periquitos: Guia de Compra Completa 2026,15284,100
alimento para zorzal,mixto,NO,,,,,1
amazon jaula pajaros,navegacional,SI,post,https://avesnativaschilenas.cl/jaulas/accesorios-para-jaulas/,Accesorios para Jaulas de Aves: Todo lo que Necesitas,15289,100
amazonas frente azul,navegacional,NO,,,,,1
ambiente de las aves,mixto,SI,post,https://avesnativaschilenas.cl/blog/importancia-de-las-aves-en-chile/,Importancia de las aves en Chile: su rol en los ecosistemas y la conservacion nacional,15082,3
anillos para pájaros,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/jaulas/voladeras/,Voladeras para Aves: Como Elegir la Mejor para tus Pajaros,15277,2
arboles para pajaros,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/jaulas/voladeras/,Voladeras para Aves: Como Elegir la Mejor para tus Pajaros,15277,2
articulos para loros,mixto,SI,post,https://avesnativaschilenas.cl/jaulas/para-loros/descubre-el-secreto-para-mantener-la-jaula-de-tu-loro-siempre-limpia-y-fresca/,¡Descubre el secreto para mantener la jaula de tu loro siempre limpia y fresca!,8533,100
asociaciones de aves,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/jaulas/accesorios-para-jaulas/,Accesorios para Jaulas de Aves: Todo lo que Necesitas,15289,2
ave flamenco chileno,mixto,SI/Parcial,post,https://avesnativaschilenas.cl/aguilas/peuco/,"Peuco chileno: caracteristicas, habitat y comportamiento de un ave protegida",178,2
ave zorzal argentino,mixto,NO,,,,,1
aves acuaticas chile,mixto,SI,post,https://avesnativaschilenas.cl/pato/donde-viven-los-patos-y-de-que-se-alimentan/,Donde viven los patos y de que se alimentan: guia completa de aves acuaticas en Chile,9370,3
