"slug","clics","impresiones","ctr","posicion"
"copiapo/motel-los-sauces","19","1263","1.5%","374"
"antofagasta/motel-serrano-antofagasta","52","1217","4.27%","331"
"motel-diamante-curico","67","958","6.99%","189"
"talcahuano/motel-caudal-talcahuano","40","677","5.91%","235"
"calama/motel-euro-calama","34","640","5.31%","395"
"curico/motel-el-oasis-de-los-niches","30","636","4.72%","29"
"puerto-montt/motel-yugos","4","599","0.67%","714"
"macul/motel-los-gatitos-macul","2","586","0.34%","794"
"curico/motel-y-cabanas-melosas-rauco","38","558","6.81%","426"
"concepcion/motel-liguria","13","525","2.48%","61"
"la-florida/motel-la-giralda-florida","3","519","0.58%","828"
"san-miguel/motel-montavord","1","498","0.2%","985"
"copiapo/motel-deja-vu-copiapo","10","482","2.07%","966"
"calama/motel-las-cavernas-calama","10","457","2.19%","401"
"valdivia/motel-arenal-valdivia","8","419","1.91%","1004"
"valparaiso/motel-bristol-valparaiso","3","358","0.84%","1089"
"curico/cabanas-rauquen","10","355","2.82%","647"
"curico/motel-84","12","351","3.42%","472"
"san-antonio/motel-piedradura-san-antonio","2","263","0.76%","873"
"quinta-normal/motel-y-hotel-abismo-de-pasion-quinta-normal","26","254","10.24%","959"
"concepcion/motel-la-cascada-concepcion","11","239","4.6%","1787"
"san-joaquin/motel-tikal-san-joaquin","0","234","0%","1279"
"coquimbo/motel-entre-rocas-coquimbo","1","232","0.43%","822"
"iquique/motel-turqueza-iquique","1","211","0.47%","1065"
"maule/motel-lujuria-maule","5","207","2.42%","902"
"punta-arenas/motel-el-canelo-punta-arenas","1","204","0.49%","681"
"lampa/motel-la-montana-lampa","14","202","6.93%","786"
"calama/motel-elegance","2","200","1%","1371"
"zapallar/motel-diamante","0","197","0%","1296"
"talca/motel-mediterraneo-talca","2","193","1.04%","1626"
"vina-del-mar/hostal-o-pension-motel-la-gata-vina-del-mar","10","185","5.41%","1085"
"los-angeles/motel-cerro-colorado","10","181","5.52%","601"
"copiapo/motel-el-cielo","1","175","0.57%","1422"
"recoleta/motel-el-buda-recoleta","0","173","0%","102"
"recoleta/motel-magus","1","170","0.59%","1037"
"padre-hurtado/motel-mi-sol-padre-hurtado","1","163","0.61%","1083"
"valdivia/motel-los-maitenes-valdivia","0","155","0%","1822"
"copiapo/motel-san-fernando-copiapo","4","154","2.6%","1607"
"antofagasta/motel-corazones-antofagasta","1","137","0.73%","1153"
"tome/motel-santo-pecado-tome","2","131","1.53%","919"
"san-vicente/motel-7-lunas-san-vicente-de-tagua-tagua","3","130","2.31%","1212"
"concepcion/motel-marques-de-sade","0","129","0%","935"
"arica/motel-los-olivos-arica","1","106","0.94%","95"
"recoleta/motel-azzo-recoleta","4","104","3.85%","1165"
"villa-alemana/motel-lobo-villa-alemana","4","103","3.88%","461"
"copiapo/motel-la-escala-copiapo","1","103","0.97%","383"
"la-cisterna/motel-el-amor-en-lila-la-cisterna","2","101","1.98%","1322"
"providencia/motel-gala-providencia","0","99","0%","3332"
"quilicura/motel-jardin-de-eros-quilicura","1","97","1.03%","1253"
"puerto-montt/motel-la-vara","2","97","2.06%","1702"
"arica/motel-la-favorita","2","97","2.06%","771"
"concepcion/motel-el-conquistador","1","96","1.04%","1201"
"maipu/motel-paso-nevado-maipu","0","92","0%","3003"
"coronel/motel-el-prado-coronel","3","92","3.26%","938"
"linares/motel-102-linares","1","91","1.1%","1632"
"vina-del-mar/motel-diplomate-vina-del-mar","1","91","1.1%","654"
"concepcion/motel-venezia-concepcion","1","89","1.12%","3173"
"buin/motel-inside-buin","0","86","0%","1291"
"calama/motel-kalu-calama","1","86","1.16%","1547"
"temuco/motel-camy-temuco","3","85","3.53%","1169"
"quinta-normal/motel-complices-quinta-normal","0","85","0%","1262"
"santiago/motel-los-acacios-santiago","1","81","1.23%","993"
"san-fernando/motel-via-veneto-san-fernando","0","78","0%","2191"
"osorno/motel-tematico-las-quemas-osorno","4","77","5.19%","986"
"la-florida/motel-niagara-la-florida","0","73","0%","1819"
"arica/motel-la-fuente-arica","5","73","6.85%","1652"
"chillan/motel-santorini","1","71","1.41%","103"
"valparaiso/motel-madox-valparaiso","2","70","2.86%","1373"
"coquimbo/motel-cupido-coquimbo","0","70","0%","1453"
"coquimbo/motel-y-hotel-fantasia-la-serena-coquimbo","1","69","1.45%","1652"
"melipilla/motel-rouge","1","64","1.56%","1283"
"san-vicente/motel-rio-secreto-san-vicente","1","63","1.59%","1335"
"rengo/motel-marga-marga-rengo","0","61","0%","1297"
"concepcion/motel-cisne-concepcion","3","61","4.92%","1175"
"punta-arenas/motel-secretos-punta-arenas","1","59","1.69%","1937"
"la-cisterna/motel-vespucio-la-cisterna","0","58","0%","1619"
"san-fernando/motel-las-arboledas-san-fernando","1","58","1.72%","1669"
"vina-del-mar/alojamiento-y-motel-okoa","1","58","1.72%","2669"
"providencia/motel-huelen-providencia","1","58","1.72%","1452"
"concon/motel-ensueno-concon","0","56","0%","4343"
"talca/motel-caribe-talca","0","55","0%","3011"
"los-angeles/motel-las-palmeras-los-angeles","0","54","0%","1583"
"padre-hurtado/motel-las-burgas-padre-hurtado","0","52","0%","1744"
"arica/motel-cabanas-paraiso-arica","0","51","0%","2031"
"coquimbo/motel-momentos-coquimbo","0","50","0%","1688"
"la-cisterna/motel-lavien-rose-la-cisterna","0","50","0%","1384"
"el-monte/motel-quellon-el-monte","0","49","0%","963"
"valdivia/motel-habana-valdivia","1","47","2.13%","2683"
