# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: saludholistica
# Propiedad: infomoteles.cl
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20260425
# Fecha de finalización: 20260522
Ruta de página y clase de pantalla,Vistas,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos,Eventos clave,Total de ingresos
/concepcion/motel-caudal-talcahuano/,9,8,1.125,20.375,101,0,34.720287
/curico/motel-blu-suites/,1,1,1,21,12,0,0.645948
/vina-del-mar/la-luna-vina-del-mar/,1,1,1,22,15,0,2.653627
/la-cisterna/motel-los-troncos-la-cisterna/,5,4,1.25,23,49,0,9.755319
/osorno/motel-luna-de-pilauco-osorno/,4,1,4,23,31,0,1.893691
/antofagasta/delirius-motel-express/,2,2,1,24,21,0,11.708501
/arica/motel-cabanas-paraiso-arica/,2,2,1,24.5,28,0,3.938165
/vina-del-mar/motel-md-vina-del-mar/,2,2,1,27,32,0,7.443457
/quinta-normal/motel-y-hotel-abismo-de-pasion-quinta-normal/,6,6,1,30.5,74,0,8.831313
/curico/cabanas-rauquen/,6,4,1.5,31.5,80,0,30.976177
/curico/motel-el-oasis-de-los-niches/,6,5,1.2,32.8,63,0,16.046491
/talca/pacifico-motel-talca/,1,1,1,33,11,0,0.834522
/vina-del-mar/sunset-motel-vina-del-mar/,2,1,2,34,20,0,12.177516
/concepcion/motel-marques-de-sade/,1,1,1,36,15,0,1.136826
/maipu/aerotel-express/,2,1,2,36,5,0,0
/calama/,1,1,1,38,14,0,2.048625
/antofagasta/motel-serrano-antofagasta/,34,25,1.36,39.2,408,0,120.063481
/calama/motel-las-cavernas-calama/,7,5,1.4,40,96,0,37.745593
/antofagasta/motel-jg-antofagasta/,1,1,1,42,13,0,6.821858
/calama/motel-euro-calama/,4,3,1.3333333333333333,44.333333333333336,54,0,11.536395
/pirque/,1,1,1,45,5,0,0
/la-cisterna/moteles-en-americo-vespucio-con-gran-avenida-explorando-opciones/,1,1,1,47,17,0,3.497439
/moteles-camino-internacional/,4,4,1,48.5,38,0,10.155104
/antofagasta/motel-mediterraneo-inn/,3,2,1.5,49.5,14,0,1.108923
/curico/motel-diamante/,17,13,1.3076923076923077,49.76923076923077,174,0,56.956097
/curico/motel-y-cabanas-melosas-rauco/,9,8,1.125,50.625,103,0,28.02143
/calama/motel-elegance/,1,1,1,51,15,0,2.315837
/arica/motel-la-fuente-arica/,1,1,1,59,13,0,1.318044
/la-cisterna/motel-vespucio-la-cisterna/,2,1,2,60,32,0,5.30649
/vina-del-mar/motel-kiss-marbella/,3,2,1.5,64.5,29,0,5.714083
/antofagasta/,6,3,2,65,71,0,6.678694
/calama/motel-kalu-calama/,8,3,2.6666666666666665,71.33333333333333,85,0,13.332095
/valdivia/motel-habana-valdivia/,1,1,1,77,15,0,16.645549
/osorno/,1,1,1,82,15,0,2.073499
/la-cisterna/i-love-love-motel-la-cisterna/,1,1,1,85,11,0,0.868774
/los-angeles/,1,1,1,138,13,0,5.48469
/maipu/motel-aerotel-express-maipu/,2,1,2,146,17,0,0.981641
/quinta-normal/motel-el-refugio-de-alsino-quinta-normal/,12,1,12,209,30,0,0
/maipu/motel-paso-nevado-maipu/,1,1,1,347,4,0,0.229381
