Fecha,Clics,Impresiones,CTR,Posición
2026-04-17,31,1054,2.94%,13.5
2026-04-18,29,1063,2.73%,11.2
2026-04-19,19,800,2.38%,11.4
2026-04-20,19,809,2.35%,13.5
2026-04-21,14,774,1.81%,14.7
2026-04-22,21,691,3.04%,13.6
2026-04-23,25,903,2.77%,14.5
2026-04-24,32,959,3.34%,10
2026-04-25,31,1037,2.99%,11.7
2026-04-26,20,838,2.39%,9.2
2026-04-27,20,1135,1.76%,24.8
2026-04-28,18,732,2.46%,11.3
2026-04-29,25,851,2.94%,15.8
2026-04-30,34,1133,3%,10
2026-05-01,33,1298,2.54%,10.9
2026-05-02,35,1032,3.39%,11.2
2026-05-03,29,938,3.09%,9.3
2026-05-04,23,860,2.67%,11.9
2026-05-05,27,825,3.27%,10.8
2026-05-06,18,728,2.47%,10.3
2026-05-07,22,786,2.8%,10.3
2026-05-08,27,1042,2.59%,10.4
2026-05-09,22,951,2.31%,10
2026-05-10,9,694,1.3%,11.9
2026-05-11,28,924,3.03%,11.4
2026-05-12,14,794,1.76%,10.4
2026-05-13,18,834,2.16%,12.1
2026-05-14,21,856,2.45%,10.3
