Fecha,Clics,Impresiones,CTR,Posición
2026-02-19,0,610,0%,40.6
2026-02-20,1,373,0.27%,25
2026-02-21,1,528,0.19%,20.7
2026-02-22,5,613,0.82%,21
2026-02-23,0,409,0%,21.1
2026-02-24,0,459,0%,22.5
2026-02-25,3,489,0.61%,21
2026-02-26,2,476,0.42%,17.5
2026-02-27,2,402,0.5%,19.1
2026-02-28,0,455,0%,18.5
2026-03-01,2,762,0.26%,11.1
2026-03-02,3,519,0.58%,18
2026-03-03,0,515,0%,21.6
2026-03-04,0,902,0%,22.8
2026-03-05,1,505,0.2%,26.1
2026-03-06,1,509,0.2%,27.9
2026-03-07,4,906,0.44%,35.3
2026-03-08,2,563,0.36%,33.6
2026-03-09,1,432,0.23%,27.6
2026-03-10,3,515,0.58%,26.9
2026-03-11,1,459,0.22%,25.8
2026-03-12,1,437,0.23%,35
2026-03-13,0,761,0%,48.8
2026-03-14,0,507,0%,26.2
2026-03-15,1,414,0.24%,32.2
2026-03-16,4,494,0.81%,26.7
2026-03-17,1,667,0.15%,19.3
2026-03-18,0,596,0%,15.1
2026-03-19,0,449,0%,22.2
2026-03-20,1,370,0.27%,24.6
2026-03-21,1,361,0.28%,26.2
2026-03-22,2,545,0.37%,28.1
2026-03-23,2,432,0.46%,25.5
2026-03-24,3,379,0.79%,21.4
2026-03-25,4,379,1.06%,23
2026-03-26,4,351,1.14%,20.1
2026-03-27,1,318,0.31%,25.2
2026-03-28,4,519,0.77%,16.1
2026-03-29,3,362,0.83%,22.4
2026-03-30,0,276,0%,21.5
2026-03-31,0,252,0%,17.9
2026-04-01,1,225,0.44%,28.8
2026-04-02,2,259,0.77%,21.9
2026-04-03,1,288,0.35%,20.3
2026-04-04,0,318,0%,19.4
2026-04-05,1,327,0.31%,19.2
2026-04-06,4,217,1.84%,32.3
2026-04-07,2,294,0.68%,21.8
2026-04-08,1,186,0.54%,16.9
2026-04-09,2,233,0.86%,18.3
2026-04-10,2,217,0.92%,27.5
2026-04-11,0,274,0%,19.1
2026-04-12,1,308,0.32%,35.2
2026-04-13,0,345,0%,38.8
2026-04-14,2,342,0.58%,16.2
2026-04-15,0,275,0%,17.3
2026-04-16,2,313,0.64%,34
2026-04-17,1,310,0.32%,37.9
2026-04-18,2,264,0.76%,28.7
2026-04-19,0,336,0%,22.3
2026-04-20,1,296,0.34%,26.4
2026-04-21,0,371,0%,29
2026-04-22,2,437,0.46%,46.9
2026-04-23,1,296,0.34%,35.4
2026-04-24,1,269,0.37%,25.9
2026-04-25,1,292,0.34%,18.7
2026-04-26,5,253,1.98%,27.6
2026-04-27,1,188,0.53%,33.8
2026-04-28,0,262,0%,30.5
2026-04-29,1,482,0.21%,53
2026-04-30,2,245,0.82%,34.4
2026-05-01,1,330,0.3%,26.1
2026-05-02,2,255,0.78%,29.7
2026-05-03,0,255,0%,31.8
2026-05-04,1,232,0.43%,44.1
2026-05-05,1,321,0.31%,52.4
2026-05-06,1,331,0.3%,26.9
2026-05-07,1,306,0.33%,37.1
2026-05-08,0,237,0%,40.6
2026-05-09,1,364,0.27%,24.4
2026-05-10,1,324,0.31%,21.6
2026-05-11,1,289,0.35%,30.9
2026-05-12,1,258,0.39%,37.8
2026-05-13,0,215,0%,28.9
2026-05-14,1,220,0.45%,35.2
2026-05-15,1,470,0.21%,54.9
2026-05-16,1,354,0.28%,46.3
2026-05-17,1,309,0.32%,39.1
2026-05-18,1,230,0.43%,39.1
