País,Clics,Impresiones,CTR,Posición
Chile,64,16979,0.38%,18.57
España,16,2836,0.56%,68.67
México,15,6079,0.25%,19.23
Estados Unidos,5,1364,0.37%,62.1
Guatemala,4,232,1.72%,14.71
Colombia,3,1102,0.27%,44.48
Argentina,2,2252,0.09%,37.26
Perú,2,1188,0.17%,34.63
Uruguay,2,148,1.35%,33.7
Costa Rica,1,233,0.43%,15.28
Nicaragua,1,172,0.58%,12.96
Bolivia,1,146,0.68%,20.27
Honduras,1,127,0.79%,13.31
República Dominicana,1,68,1.47%,11.71
Italia,1,19,5.26%,23.68
Venezuela,0,318,0%,36.06
Ecuador,0,286,0%,32.77
El Salvador,0,114,0%,15.64
Reino Unido,0,103,0%,70.83
Paraguay,0,101,0%,21.13
Panamá,0,82,0%,26.44
Brasil,0,62,0%,33.68
Puerto Rico,0,41,0%,9.88
Canadá,0,30,0%,30.93
Cuba,0,25,0%,6.24
Francia,0,20,0%,18.6
Vietnam,0,15,0%,62.93
Alemania,0,13,0%,35.23
La India,0,9,0%,41.33
China,0,7,0%,18
Rusia,0,7,0%,54.14
Japón,0,6,0%,6
Irlanda,0,6,0%,17.33
Portugal,0,6,0%,21
Suiza,0,5,0%,6.4
Australia,0,5,0%,13.2
Arabia Saudí,0,5,0%,72.4
Indonesia,0,4,0%,9.25
Andorra,0,4,0%,9.75
Polonia,0,4,0%,22.75
Corea del Sur,0,4,0%,23.25
Pakistán,0,4,0%,35
Egipto,0,4,0%,44.75
Nueva Zelanda,0,4,0%,60.75
Guinea Ecuatorial,0,3,0%,8
Marruecos,0,3,0%,16.33
Países Bajos,0,3,0%,21.67
Turquía,0,3,0%,61.33
Filipinas,0,3,0%,78.33
Malaui,0,2,0%,4
Croacia,0,2,0%,7
Singapur,0,2,0%,9.5
Malasia,0,2,0%,11.5
Hungría,0,2,0%,32
Argelia,0,2,0%,43.5
Qatar,0,2,0%,61
Lituania,0,2,0%,73.5
Bélgica,0,1,0%,4
Mauricio,0,1,0%,4
Rumanía,0,1,0%,6
Bangladés,0,1,0%,7
Finlandia,0,1,0%,7
Kuwait,0,1,0%,8
Túnez,0,1,0%,10
Belice,0,1,0%,11
Hong Kong,0,1,0%,11
Jordania,0,1,0%,11
Dinamarca,0,1,0%,12
Irán,0,1,0%,14
Tailandia,0,1,0%,42
Eslovenia,0,1,0%,53
Austria,0,1,0%,65
Myanmar (Birmania),0,1,0%,68
Kazajistán,0,1,0%,75
Bulgaria,0,1,0%,76
Israel,0,1,0%,79
Senegal,0,1,0%,90
Uzbekistán,0,1,0%,91
Sudáfrica,0,1,0%,95
