País,Clics,Impresiones,CTR,Posición
Chile,661,24438,2.7%,11.99
México,1,48,2.08%,28.19
Argentina,1,32,3.12%,25.66
El Salvador,1,16,6.25%,19.5
Estados Unidos,0,619,0%,8.51
España,0,57,0%,41.86
Colombia,0,26,0%,21.38
Paraguay,0,11,0%,52.73
Ecuador,0,10,0%,16.5
Italia,0,9,0%,10
Portugal,0,7,0%,9.43
Costa Rica,0,7,0%,41.14
Perú,0,5,0%,7.8
Brasil,0,5,0%,37
Uruguay,0,5,0%,38.2
Japón,0,4,0%,12.25
Malasia,0,3,0%,11.67
Vietnam,0,3,0%,33.33
Australia,0,3,0%,42
Bolivia,0,3,0%,45
República Dominicana,0,3,0%,57.33
Arabia Saudí,0,2,0%,1
Reino Unido,0,2,0%,5
Canadá,0,2,0%,5.5
Bulgaria,0,2,0%,6.5
Dinamarca,0,2,0%,7
Venezuela,0,2,0%,7.5
Suecia,0,2,0%,8.5
Honduras,0,1,0%,2
Kazajistán,0,1,0%,5
Bangladés,0,1,0%,7
Luxemburgo,0,1,0%,8
Rusia,0,1,0%,9
Hungría,0,1,0%,10
Guatemala,0,1,0%,12
Sri Lanka,0,1,0%,12
China,0,1,0%,14
La India,0,1,0%,14
Corea del Sur,0,1,0%,14
Suiza,0,1,0%,18
Andorra,0,1,0%,58
