País,Clics,Impresiones,CTR,Posición
Chile,69,4705,1.47%,14.1
Brasil,1,34,2.94%,32.59
Argentina,0,79,0%,35.56
Estados Unidos,0,79,0%,45.25
Reino Unido,0,57,0%,56.67
España,0,47,0%,66.91
Canadá,0,30,0%,58
México,0,24,0%,29.17
Alemania,0,14,0%,68.5
Colombia,0,11,0%,25.82
Perú,0,9,0%,35.33
Italia,0,8,0%,54
Venezuela,0,7,0%,10.86
Francia,0,5,0%,8.8
Ecuador,0,4,0%,35.25
Suiza,0,4,0%,54.75
China,0,4,0%,62.25
Arabia Saudí,0,3,0%,15
Países Bajos,0,3,0%,15.67
Turquía,0,3,0%,21.67
La India,0,3,0%,24
Uruguay,0,3,0%,32.67
Nueva Zelanda,0,3,0%,57
Eslovaquia,0,2,0%,8
Costa Rica,0,2,0%,10
Australia,0,2,0%,16.5
Iraq,0,2,0%,16.5
Guatemala,0,2,0%,17
Camboya,0,2,0%,17.5
Vietnam,0,2,0%,21
Kazajistán,0,2,0%,24
Corea del Sur,0,2,0%,26
Túnez,0,2,0%,26.5
Austria,0,2,0%,27
Bolivia,0,2,0%,35.5
Paraguay,0,2,0%,51
Cuba,0,1,0%,1
Hong Kong,0,1,0%,1
Panamá,0,1,0%,4
Singapur,0,1,0%,8
El Salvador,0,1,0%,9
Líbano,0,1,0%,10
Finlandia,0,1,0%,11
Irlanda,0,1,0%,12
Bulgaria,0,1,0%,13
Nepal,0,1,0%,15
Mongolia,0,1,0%,16
Taiwán,0,1,0%,18
Filipinas,0,1,0%,19
Israel,0,1,0%,20
Pakistán,0,1,0%,27
Chequia,0,1,0%,28
Bielorrusia,0,1,0%,30
Etiopía,0,1,0%,30
Indonesia,0,1,0%,31
Noruega,0,1,0%,78
